ilan_no,mahalle,ilce,il,fiyat,brut_m2,net_m2,oda_sayisi,banyo_sayisi,kat_sayisi,bulundugu_kat,bina_yasi,isinma,esya_durumu,kullanim_durumu,tapu_durumu,cephe,aidat,url
138321-1168,Yeşilkent,Esenyurt,İstanbul,1.100.000 TL,111,108,2 + 1,1.0,5 Katlı,Bahçe Katı,5 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,Güney,,https://www.hepsiemlak.com/istanbul-esenyurt-yesilkent-satilik/daire/138321-1168
138321-1076,Güzelyurt,Esenyurt,İstanbul,4.399.000 TL,185,170,3 + 2,2.0,4 Katlı,3. Kat,8 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",200 TL,https://www.hepsiemlak.com/istanbul-esenyurt-guzelyurt-satilik/daire/138321-1076
138321-1161,Çınar,Esenyurt,İstanbul,2.900.000 TL,110,88,2 + 1,2.0,4 Katlı,Ara Kat,1 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",200 TL,https://www.hepsiemlak.com/istanbul-esenyurt-cinar-satilik/daire/138321-1161
1792-36286,Acarlar,Beykoz,İstanbul,285.000.000 TL,1000,830,10 + 0,6.0,4 Katlı,,26 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,Batı,,https://www.hepsiemlak.com/istanbul-beykoz-acarlar-satilik/mustakil-ev/1792-36286
111753-2679,Cumhuriyet,Beylikdüzü,İstanbul,4.200.000 TL,145,130,3 + 1,2.0,10 Katlı,4. Kat,9 Yaşında,Kombi,Eşyalı Değil,Boş,Yabancıdan,"Güney, Doğu",,https://www.hepsiemlak.com/istanbul-beylikduzu-cumhuriyet-satilik/daire/111753-2679
111753-2696,Güzelyurt,Esenyurt,İstanbul,3.500.000 TL,110,100,2 + 1,1.0,5 Katlı,1. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu",,https://www.hepsiemlak.com/istanbul-esenyurt-guzelyurt-satilik/daire/111753-2696
165223-133,Güzelyurt,Esenyurt,İstanbul,4.850.000 TL,100,90,2 + 1,1.0,5 Katlı,2. Kat,6 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,,,https://www.hepsiemlak.com/istanbul-esenyurt-guzelyurt-satilik/daire/165223-133
165223-132,Mevlana,Esenyurt,İstanbul,2.300.000 TL,100,95,2 + 1,1.0,3 Katlı,Bahçe Katı,5 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-esenyurt-mevlana-satilik/daire/165223-132
137998-275,Adnan Kahveci,Beylikdüzü,İstanbul,7.430.000 TL,150,145,3 + 1,2.0,5 Katlı,3. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Yabancıdan,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-beylikduzu-adnan-kahveci-satilik/daire/137998-275
137998-333,Kavaklı,Beylikdüzü,İstanbul,4.699.000 TL,125,115,2 + 1,2.0,4 Katlı,2. Kat,5 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Yabancıdan,"Güney, Doğu",2.500 TL,https://www.hepsiemlak.com/istanbul-beylikduzu-kavakli-satilik/daire/137998-333
137998-328,Adnan Kahveci,Beylikdüzü,İstanbul,7.600.000 TL,155,140,3 + 1,2.0,3 Katlı,2. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Yabancıdan,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-beylikduzu-adnan-kahveci-satilik/daire/137998-328
137998-292,Adnan Kahveci,Beylikdüzü,İstanbul,5.320.000 TL,120,100,2 + 1,1.0,3 Katlı,2. Kat,6 Yaşında,Kombi,Eşyalı Değil,Boş,Yabancıdan,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-beylikduzu-adnan-kahveci-satilik/daire/137998-292
137998-315,Adnan Kahveci,Beylikdüzü,İstanbul,5.400.000 TL,100,85,2 + 1,2.0,3 Katlı,1. Kat,6 Yaşında,Kombi,Eşyalı Değil,Boş,Yabancıdan,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-beylikduzu-adnan-kahveci-satilik/daire/137998-315
111753-2687,Yeşilkent,Esenyurt,İstanbul,1.645.000 TL,70,65,1 + 1,1.0,26 Katlı,21 ve üzeri,8 Yaşında,Kombi,Eşyalı,Kiracılı,Yabancıdan,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-esenyurt-yesilkent-satilik/daire/111753-2687
111753-2654,Talatpaşa,Esenyurt,İstanbul,1.475.000 TL,90,82,2 + 1,1.0,4 Katlı,Yüksek Giriş,6 Yaşında,Kombi,Eşyalı Değil,,Kat Mülkiyeti,"Güney, Doğu",,https://www.hepsiemlak.com/istanbul-esenyurt-talatpasa-satilik/daire/111753-2654
136218-1244,Mimar Sinan,Üsküdar,İstanbul,9.850.000 TL,95,85,2 + 1,1.0,7 Katlı,4. Kat,4 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,,,https://www.hepsiemlak.com/istanbul-uskudar-mimar-sinan-satilik/daire/136218-1244
165223-134,Bağlarçeşme,Esenyurt,İstanbul,2.990.000 TL,100,90,2 + 1,1.0,5 Katlı,1. Kat,6 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,,,https://www.hepsiemlak.com/istanbul-esenyurt-baglarcesme-satilik/daire/165223-134
160344-37,Yayla,Tuzla,İstanbul,19.950.000 TL,230,190,5 + 2,3.0,8 Katlı,8. Kat,Sıfır Bina,Merkezi (Pay Öl...,Eşyalı Değil,Boş,Tapu Yok,"Güney, Batı",6.700 TL,https://www.hepsiemlak.com/istanbul-tuzla-yayla-satilik/daire/160344-37
160344-40,Aydınlı,Tuzla,İstanbul,4.950.000 TL,70,55,1 + 1,1.0,2 Katlı,2. Kat,11 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,Doğu,,https://www.hepsiemlak.com/istanbul-tuzla-aydinli-satilik/daire/160344-40
129481-1303,Şehremini,Fatih,İstanbul,2.650.000 TL,70,65,1 + 1,1.0,5 Katlı,Yarı Bodrum,35 Yaşında,Kombi,,Kiracılı,Kat Mülkiyeti,"Kuzey, Güney",200 TL,https://www.hepsiemlak.com/istanbul-fatih-sehremini-satilik/daire/129481-1303
129481-1457,Seyyid Ömer,Fatih,İstanbul,3.680.000 TL,75,70,2 + 1,1.0,5 Katlı,5. Kat,35 Yaşında,Kombi,Eşyalı,Mülk Sahibi,Kat Mülkiyeti,"Kuzey, Güney",300 TL,https://www.hepsiemlak.com/istanbul-fatih-seyyid-omer-satilik/daire/129481-1457
129481-1455,Silivrikapı,Fatih,İstanbul,11.400.000 TL,243,240,5 + 1,2.0,4 Katlı,Yüksek Giriş,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,,,https://www.hepsiemlak.com/istanbul-fatih-silivrikapi-satilik/daire/129481-1455
1077-67498,Caddebostan,Kadıköy,İstanbul,30.750.000 TL,137,100,3 + 1,1.0,10 Katlı,8. Kat,8 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Boş,Kat Mülkiyeti,Güney,,https://www.hepsiemlak.com/istanbul-kadikoy-caddebostan-satilik/daire/1077-67498
54895-930,Maden,Adalar,İstanbul,39.000.000 TL,739,177,4 + 2,3.0,2 Katlı,,57 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-adalar-maden-satilik/mustakil-ev/54895-930
54895-1196,Nizam,Adalar,İstanbul,48.000.000 TL,582,476,10 + 3,8.0,3 Katlı,,56 Yaşında,Kombi,Eşyalı Değil,Boş,Müstakil Tapulu,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-adalar-nizam-satilik/mustakil-ev/54895-1196
165223-131,Ardıçlı,Esenyurt,İstanbul,2.950.000 TL,100,95,2 + 1,1.0,5 Katlı,1. Kat,1 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-esenyurt-ardicli-satilik/daire/165223-131
1100-13169,Göztepe,Kadıköy,İstanbul,12.950.000 TL,100,80,2 + 1,2.0,11 Katlı,Giriş Katı,26 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,,,https://www.hepsiemlak.com/istanbul-kadikoy-goztepe-satilik/daire/1100-13169
1100-13181,Göztepe,Kadıköy,İstanbul,27.950.000 TL,120,96,3 + 1,2.0,9 Katlı,6. Kat,1 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Güney, Batı",,https://www.hepsiemlak.com/istanbul-kadikoy-goztepe-satilik/daire/1100-13181
1100-13164,Suadiye,Kadıköy,İstanbul,22.950.000 TL,130,100,3 + 1,2.0,10 Katlı,3. Kat,9 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-kadikoy-suadiye-satilik/daire/1100-13164
